school_name,group_id,xuanke_req,is_special,group_name,min_score,subject,source
山东财经大学,01,不限,否,山东财经大学01专业组(不限),565,历史,eol.cn 征求志愿
聊城大学,02,不限,是,聊城大学02专业组(不限)(中外合作办学),487,历史,eol.cn 征求志愿
山东工商学院,01,不限,否,山东工商学院01专业组(不限),524,历史,eol.cn 征求志愿
鲁东大学,01,不限,否,鲁东大学01专业组(不限),514,历史,eol.cn 征求志愿
河北环境工程学院,01,不限,否,河北环境工程学院01专业组(不限),519,历史,eol.cn 征求志愿
沈阳工业大学,01,不限,否,沈阳工业大学01专业组(不限),534,历史,eol.cn 征求志愿
吉林建筑大学,02,生物和地理,否,吉林建筑大学02专业组(生物和地理),509,历史,eol.cn 征求志愿
哈尔滨商业大学,01,不限,否,哈尔滨商业大学01专业组(不限),516,历史,eol.cn 征求志愿
南阳师范学院,02,不限,是,南阳师范学院02专业组(不限)(中外合作办学),502,历史,eol.cn 征求志愿
湖北第二师范学院,01,不限,否,湖北第二师范学院01专业组(不限),516,历史,eol.cn 征求志愿
湖南师范大学,01,不限,否,湖南师范大学01专业组(不限),589,历史,eol.cn 征求志愿
湖南工商大学,01,不限,否,湖南工商大学01专业组(不限),534,历史,eol.cn 征求志愿
长沙学院,01,不限,否,长沙学院01专业组(不限),531,历史,eol.cn 征求志愿
湖南财政经济学院,01,不限,否,湖南财政经济学院01专业组(不限),538,历史,eol.cn 征求志愿
湖南工业大学,02,不限,否,湖南工业大学02专业组(不限),533,历史,eol.cn 征求志愿
广东外语外贸大学,01,不限,否,广东外语外贸大学01专业组(不限),533,历史,eol.cn 征求志愿
南宁师范大学,01,不限,否,南宁师范大学01专业组(不限),528,历史,eol.cn 征求志愿
玉林师范学院,02,不限,否,玉林师范学院02专业组(不限),514,历史,eol.cn 征求志愿
广西艺术学院,01,不限,否,广西艺术学院01专业组(不限),503,历史,eol.cn 征求志愿
桂林旅游学院,01,不限,是,桂林旅游学院01专业组(不限)(中外合作办学),478,历史,eol.cn 征求志愿
海南师范大学,01,不限,是,海南师范大学01专业组(不限)(中外合作办学),478,历史,eol.cn 征求志愿
海南热带海洋学院,02,不限,否,海南热带海洋学院02专业组(不限),516,历史,eol.cn 征求志愿
西南大学,01,不限,否,西南大学01专业组(不限),602,历史,eol.cn 征求志愿
新疆农业大学,02,不限,否,新疆农业大学02专业组(不限),526,历史,eol.cn 征求志愿
新疆理工学院,01,不限,否,新疆理工学院01专业组(不限),510,历史,eol.cn 征求志愿
新疆政法学院,01,不限,否,新疆政法学院01专业组(不限),535,历史,eol.cn 征求志愿
上海兴伟学院,01,不限,否,上海兴伟学院01专业组(不限),478,历史,eol.cn 征求志愿
上海外国语大学贤达经济人文学院,01,不限,否,上海外国语大学贤达经济人文学院01专业组(不限),495,历史,eol.cn 征求志愿
上海师范大学天华学院,01,不限,否,上海师范大学天华学院01专业组(不限),478,历史,eol.cn 征求志愿
上海立达学院,01,不限,否,上海立达学院01专业组(不限),510,历史,eol.cn 征求志愿
上海中侨职业技术大学,01,不限,否,上海中侨职业技术大学01专业组(不限),478,历史,eol.cn 征求志愿
浙江万里学院,01,不限,否,浙江万里学院01专业组(不限),509,历史,eol.cn 征求志愿
浙江越秀外国语学院,01,不限,否,浙江越秀外国语学院01专业组(不限),485,历史,eol.cn 征求志愿
安徽外国语学院,01,不限,否,安徽外国语学院01专业组(不限),479,历史,eol.cn 征求志愿
厦门工学院,01,不限,否,厦门工学院01专业组(不限),482,历史,eol.cn 征求志愿
阳光学院,01,不限,否,阳光学院01专业组(不限),478,历史,eol.cn 征求志愿
江西科技学院,01,不限,否,江西科技学院01专业组(不限),488,历史,eol.cn 征求志愿
江西应用科技学院,01,不限,否,江西应用科技学院01专业组(不限),485,历史,eol.cn 征求志愿
江西服装学院,01,不限,否,江西服装学院01专业组(不限),478,历史,eol.cn 征求志愿
南昌工学院,01,不限,否,南昌工学院01专业组(不限),481,历史,eol.cn 征求志愿
南昌交通学院,01,不限,否,南昌交通学院01专业组(不限),479,历史,eol.cn 征求志愿
