school_code,school_name,group_code,group_id,xuanke_req,plan_count,admitted,min_score,min_rank,year,subject,is_special
8316,华北理工大学轻工学院,03,03,不限,30,0,487,145228,2024,物理,否
8316,华北理工大学轻工学院,04,04,化学,30,0,462,180881,2024,物理,否
8318,河北经贸大学经济管理学院,02,02,不限,30,0,489,143864,2024,物理,否
8320,河北工程大学科信学院,01,01,不限,30,0,496,139093,2024,物理,否
8320,河北工程大学科信学院,02,02,化学,30,0,482,148636,2024,物理,否
8323,石家庄铁道大学四方学院,02,02,不限,30,0,498,137729,2024,物理,否
8323,石家庄铁道大学四方学院,03,03,化学,30,0,487,145228,2024,物理,否
8324,河北地质大学华信学院,02,02,不限,30,0,487,145228,2024,物理,否
8324,河北地质大学华信学院,03,03,化学,30,0,473,172522,2024,物理,否
8324,河北地质大学华信学院,04,04,化学,30,0,464,179361,2024,物理,否
8326,保定理工学院,02,02,不限,30,0,486,145909,2024,物理,否
8326,保定理工学院,03,03,化学,30,0,462,180881,2024,物理,否
8327,燕京理工学院,02,02,不限,30,0,487,145228,2024,物理,否
8327,燕京理工学院,03,03,化学,30,0,474,171762,2024,物理,否
8328,北京中医药大学东方学院,02,02,不限,30,0,486,145909,2024,物理,否
8329,沧州交通学院,02,02,不限,30,0,485,146591,2024,物理,否
8329,沧州交通学院,03,03,化学,30,0,462,180881,2024,物理,否
8330,河北东方学院,02,02,化学,30,0,468,176322,2024,物理,否
8360,山西应用科技学院,02,02,不限,30,0,487,145228,2024,物理,否
8363,晋中信息学院,03,03,化学,30,0,479,167963,2024,物理,否
8364,山西晋中理工学院,02,02,化学,30,0,468,176322,2024,物理,否
8366,山西工商学院,02,02,不限,30,0,490,143183,2024,物理,否
